camp_number,district_idx,district_name,people_served,gap_reduction,reward,days,people_served_thousands
1,19,KARNATAKA,1500,0.21336000000000002,42.423,3,1.5
2,36,PUNJAB,1500,0.17589000000000002,34.608000000000004,3,1.5
3,19,KARNATAKA,1500,0.14935199999999998,10.782999999999998,3,1.5
4,19,KARNATAKA,1500,0.10454639999999998,-17.56888,3,1.5
5,39,TAMIL NADU,1500,0.18026999999999999,35.4345,3,1.5
6,40,TELANGANA,1500,0.2016,26.794999999999998,3,1.5
7,39,TAMIL NADU,1500,0.12618899999999997,5.688549999999992,3,1.5
8,36,PUNJAB,1500,0.123123,5.093049999999998,3,1.5
9,20,KERALA,1500,0.177,23.299999999999997,3,1.5
10,14,HARYANA,1500,0.17316,34.0065,3,1.5
