camp_number,district_idx,district_name,month,week,timing,turnout_probability,people_served,gap_score,reward,upi_multiplier
1,15,HIMACHAL PRADESH,Oct,3,Week 3 Oct,1.0,1500,0.4601,154.45559999999998,1.2
2,4,BIHAR,Nov,4,Week 4 Nov,0.5822326751607387,873,0.3516,79.22116050964432,1.2
3,13,GUJARAT,Feb,2,Week 2 Feb,0.569946081396509,854,0.5678,86.98530406982545,1.0
4,36,PUNJAB,Jan,3,Week 3 Jan,0.6989197869487073,1048,0.5863,95.67198934743536,1.0
5,12,GOA,Apr,3,Week 3 Apr,1.0,1500,0.7524,200.05440000000002,1.2
6,18,JHARKHAND,Jan,2,Week 2 Jan,0.6058082155814822,908,0.3619,68.29641077907411,1.0
7,14,HARYANA,Sep,1,Week 1 Sep,0.6301247523111329,945,0.5772,91.11623761555666,1.0
8,7,CHHATTISGARH,Jun,2,Week 2 Jun,0.4737958534266571,710,0.4557,70.67979267133285,1.0
9,14,HARYANA,Apr,2,Week 2 Apr,0.9171762405683982,1375,0.5772,165.87294676433507,1.2
10,14,HARYANA,Feb,1,Week 1 Feb,0.59548827597208,893,0.5772,89.280413798604,1.0
